gender,age
M,31
F,39
M,47
 ,61
F,51
F,10
M,27
M,38
M,52
M,28
F,42
 ,33
M,50
F,42
M,65
F,30
F,62
 ,62
F,30
M,67
M,75
F,62
M,64
F,41
F,54
M,58
M,67
O,50
M,51
M,16
F,25
M,40
M,31
F,64
O,39
F,66
F,35
 ,44
F,30
F,59
F,78
 ,47
F,64
O,26
F,67
F,45
F,47
F,81
F,29
 ,60
F,68
M,41
F,28
F,28
 ,56
M,51
M,33
M,30
F,50
F,33
M,46
M,25
M,69
F,30
F,26
M,39
F,10
F,38
F,52
F,11
F,64
M,11
M,17
M,53
M,62
M,17
F,11
M,45
F,41
M,77
F,36
M,48
M,40
F,39
F,45
F,61
F,48
M,15
M,42
F,51
M,46
F,61
M,31
F,44
M,30
M,73
F,58
F,37
 ,72
F,26
M,55
F,34
F,25
M,41
F,49
M,31
M,30
M,65
 ,24
M,44
F,53
M,28
F,30
M,31
M,49
F,73
F,11
F,71
M,33
M,73
F,37
F,58
M,28
M,42
F,18
 ,70
F,62
M,48
F,13
M,64
F,66
F,18
M,30
M,46
F,20
M,13
M,47
F,33
M,50
F,51
F,74
M,67
F,35
F,14
M,56
M,19
F,52
 ,30
F,41
F,30
M,70
M,43
 ,45
 ,64
M,51
F,41
F,73
F,66
M,56
M,21
M,61
M,81
M,32
F,72
F,38
M,69
M,59
 ,40
M,40
 ,67
M,60
M,58
F,38
M,42
F,31
 ,30
M,18
F,56
M,55
F,67
M,41
F,46
M,33
F,56
M,54
F,16
F,59
 ,65
M,19
F,52
F,37
M,60
 ,41
F,45
F,48
M,22
M,13
M,45
 ,42
F,38
M,80
F,66
M,33
 ,61
F,66
M,29
M,57
M,42
M,35
F,47
M,75
F,67
M,81
M,67
O,29
F,42
F,32
F,79
F,32
F,71
M,79
 ,73
F,43
F,53
M,52
M,49
F,40
F,47
M,14
M,14
F,54
F,69
F,53
M,13
F,36
M,39
M,32
M,15
F,50
F,30
 ,32
F,65
F,63
M,36
F,73
M,37
M,72
M,60
F,63
F,69
 ,46
F,43
M,76
 ,44
M,24
F,52
M,54
F,55
F,47
M,60
M,28
F,64
M,31
M,61
F,34
F,49
M,35
M,46
F,62
M,32
M,62
 ,75
F,53
 ,74
F,39
F,58
M,22
M,38
F,21
M,25
M,26
M,31
M,38
M,62
M,24
F,50
F,18
F,21
M,52
M,65
F,81
F,39
F,42
F,63
M,43
F,54
M,34
F,37
F,31
F,15
 ,82
O,59
F,70
M,66
M,73
F,23
M,19
F,23
F,15
F,41
M,87
 ,74
 ,32
M,48
F,47
F,44
M,31
M,36
M,32
M,58
M,39
M,75
M,42
F,34
F,44
M,63
M,59
M,56
F,45
F,38
M,79
 ,77
M,51
 ,36
M,34
M,33
F,46
F,38
M,56
 ,56
F,77
M,37
M,37
F,35
 ,55
M,50
M,53
F,22
F,44
M,53
F,41
M,68
M,58
 ,39
M,44
F,83
M,74
F,31
F,52
M,41
M,64
M,64
F,75
M,62
M,89
F,59
M,74
M,46
M,54
F,66
M,47
M,43
M,46
M,62
M,40
F,57
F,41
F,71
M,42
M,41
M,86
F,35
 ,74
M,75
F,43
F,59
M,61
F,40
 ,45
F,62
 ,65
M,39
M,66
 ,39
M,40
M,54
F,62
M,66
M,36
F,75
F,42
M,45
F,73
O,66
F,57
M,21
 ,48
M,39
 ,41
 ,57
F,36
F,56
F,71
M,60
 ,71
M,72
M,69
F,66
M,79
 ,36
F,65
M,65
M,69
M,72
F,70
M,62
M,74
F,40
F,68
F,40
F,86
F,67
M,57
M,44
F,70
 ,47
M,27
F,79
M,71
M,39
F,32
F,67
M,31
M,21
O,64
F,30
M,51
 ,63
F,70
F,51
 ,58
F,32
F,43
 ,51
M,76
M,42
M,58
F,80
F,60
F,33
F,57
M,63
M,93
M,79
M,67
M,43
F,58
M,53
 ,41
M,40
M,30
M,46
F,86
M,78
F,31
M,58
F,64
F,64
M,48
M,22
F,75
M,79
F,22
F,44
F,76
F,76
M,71
F,40
F,63
M,81
F,51
M,43
M,73
F,39
F,64
F,54
M,64
M,43
F,76
F,60
M,50
F,42
M,40
M,45
M,48
M,52
F,56
F,81
F,39
M,59
F,51
M,42
M,34
M,75
M,57
F,65
F,45
M,59
M,47
M,68
F,61
M,83
F,47
F,72
F,40
F,59
F,74
M,35
F,41
M,63
F,22
M,83
M,43
F,74
F,54
F,68
M,73
F,38
M,22
F,68
M,71
F,40
 ,50
M,60
M,81
F,72
M,58
M,46
F,59
F,31
M,43
M,62
M,48
F,55
F,27
M,28
M,25
M,65
F,74
F,46
M,39
F,50
F,78
F,79
F,62
M,60
M,50
F,65
F,23
M,74
F,79
F,64
M,68
F,70
F,41
F,101
F,63
F,40
F,66
F,81
F,51
M,41
F,50
M,102
F,48
M,25
 ,87
M,46
F,57
M,85
M,83
M,40
M,48
M,24
F,53
M,45
M,64
M,73
F,63
M,66
F,33
M,70
M,43
F,76
M,45
F,59
F,42
 ,44
F,23
M,41
F,79
M,60
F,86
F,55
F,70
F,67
M,65
F,79
F,69
F,64
M,59
M,83
M,55
M,63
M,74
M,53
F,51
 ,65
F,24
M,62
M,82
 ,85
F,48
M,49
F,56
 ,42
M,51
 ,55
F,59
F,67
F,67
M,61
M,25
F,69
M,77
M,54
F,36
M,84
F,57
M,76
F,81
M,79
M,63
 ,66
M,67
F,57
F,24
F,25
M,52
F,24
F,72
M,67
M,36
F,66
F,76
M,51
F,53
F,73
M,28
M,41
M,63
M,62
M,70
M,54
F,74
F,59
F,39
M,70
M,71
M,65
F,54
F,55
M,84
F,75
M,67
F,67
F,62
M,69
M,78
M,64
F,62
M,44
F,56
F,36
 ,63
M,61
F,53
 ,30
M,65
F,55
M,72
M,69
M,83
M,77
F,43
M,59
F,66
F,68
M,62
F,80
F,48
M,30
 ,55
F,64
F,26
M,33
M,59
F,35
F,76
M,76
F,53
F,50
F,70
M,67
F,65
M,92
M,53
M,74
F,79
M,33
F,59
F,49
F,36
M,76
F,59
M,29
 ,42
M,91
F,70
M,47
M,49
F,43
F,62
M,50
F,63
M,38
F,26
M,91
M,30
M,80
F,41
M,43
M,68
F,77
M,85
 ,31
F,61
M,77
M,57
M,68
F,29
M,33
M,26
M,56
M,61
M,55
M,49
M,54
M,58
 ,50
F,60
F,66
M,59
M,51
M,37
M,37
F,78
M,33
M,47
M,59
M,76
M,27
F,51
F,67
F,52
M,26
M,36
F,35
M,91
F,32
M,33
M,77
M,65
M,37
F,46
F,75
M,57
F,54
 ,45
M,59
M,74
F,71
M,68
F,26
F,92
M,91
M,37
F,62
F,26
F,50
M,48
M,43
 ,50
F,59
 ,54
M,83
M,55
F,44
M,68
F,65
F,42
F,55
F,76
F,67
F,74
M,53
F,66
F,68
M,75
M,58
M,66
M,68
M,83
M,84
M,40
F,60
F,78
F,36
F,59
F,32
F,68
F,73
F,80
 ,72
F,84
F,53
M,52
M,55
M,65
M,62
M,86
M,72
M,31
M,73
M,96
F,53
F,67
M,74
M,83
F,70
 ,59
F,56
M,49
M,49
M,50
M,64
M,67
F,86
F,80
M,61
M,71
M,76
M,40
M,39
M,93
M,55
M,84
 ,79
M,94
M,61
M,78
M,54
 ,83
M,75
F,85
M,66
M,55
M,78
F,71
M,71
F,50
M,81
M,79
M,78
M,44
F,71
F,67
M,59
M,68
M,78
M,66
M,60
M,57
M,57
F,52
M,37
M,63
M,35
F,70
M,51
F,56
F,70
M,53
 ,65
F,59
F,91
F,71
M,62
M,78
M,38
F,62
 ,59
M,76
F,51
F,76
F,79
F,70
M,74
M,67
M,70
F,34
F,46
M,61
M,39
M,50
F,48
F,70
M,59
M,71
F,55
M,83
M,82
F,81
F,42
M,75
F,36
F,55
F,55
F,42
F,40
M,68
M,76
F,89
F,76
M,86
F,52
 ,43
 ,61
M,48
 ,45
M,9
M,63
M,73
M,67
M,77
 ,23
F,17
M,9
 ,78
M,40
M,27
 ,52
F,26
F,27
F,63
M,27
M,49
 ,34
M,35
M,46
F,47
M,23
 ,41
 ,68
F,38
F,8
F,36
M,49
M,53
F,38
F,42
M,63
 ,19
 ,35
F,32
 ,68
M,33
F,36
M,68
F,19
F,34
F,21
 ,32
F,20
M,24
 ,17
M,23
M,7
F,19
 ,14
 ,40
M,37
F,68
 ,42
M,21
F,64
F,37
 ,33
M,19
M,17
F,22
M,71
 ,19
F,46
 ,64
 ,44
M,41
 ,18
 ,31
F,28
M,14
M,44
F,21
F,21
F,19
F,55
M,19
M,73
F,21
 ,20
 ,22
M,49
F,23
F,55
F,88
F,23
F,42
M,67
 ,24
F,35
 ,32
 ,25
 ,17
M,19
M,75
F,38
M,36
F,63
 ,24
M,68
 ,40
M,33
F,18
F,62
 ,32
M,56
 ,35
M,47
 ,18
 ,37
F,65
M,66
M,31
F,22
 ,31
M,24
 ,44
M,27
M,35
F,47
M,63
 ,37
 ,31
 ,52
M,93
 ,34
F,29
 ,55
F,2
M,5
F,52
F,96
F,2
F,63
M,99
M,26
 ,27
F,33
M,35
F,29
M,69
F,63
F,28
 ,39
F,81
 ,39
M,43
M,52
M,30
M,80
 ,41
M,44
M,57
 ,37
M,33
 ,23
F,46
 ,60
M,80
F,64
 ,16
 ,61
M,36
F,18
M,40
F,15
M,32
 ,59
M,27
M,31
 ,18
F,42
 ,79
M,44
F,29
M,30
M,27
 ,31
F,31
F,60
F,34
F,52
 ,40
F,37
M,38
F,31
F,16
M,58
 ,70
M,23
 ,47
F,15
F,24
M,31
M,35
F,37
M,19
F,42
F,52
 ,36
 ,43
 ,3
M,39
 ,31
F,38
M,25
 ,52
M,69
F,39
F,21
F,28
F,66
F,36
F,9
F,78
 ,11
F,31
F,45
 ,18
M,3
 ,40
M,30
F,68
 ,4
M,23
 ,25
 ,43
M,66
 ,72
M,71
F,43
F,81
 ,58
 ,58
F,77
M,44
M,34
F,20
M,42
F,31
 ,34
 ,63
M,21
M,58
 ,45
F,70
F,44
 ,37
M,27
F,16
 ,30
F,45
 ,3
F,60
 ,39
F,28
 ,40
M,40
M,45
M,28
M,50
M,11
M,37
F,64
F,72
F,72
 ,26
F,21
 ,42
F,36
 ,23
 ,35
 ,34
M,51
 ,4
F,33
F,21
F,56
F,38
F,49
M,34
M,62
F,20
F,79
 ,33
 ,61
M,39
F,24
M,20
M,60
 ,13
M,24
M,66
 ,53
M,4
F,19
M,22
M,25
F,64
F,41
F,23
M,51
F,46
M,5
M,70
F,53
 ,18
 ,42
F,30
M,61
 ,54
M,48
F,53
F,55
 ,43
F,53
M,19
 ,26
M,67
 ,79
M,27
F,39
M,23
M,46
F,79
F,81
F,36
M,32
F,85
M,38
F,20
M,74
F,42
M,67
M,57
F,35
M,30
M,35
M,37
M,85
M,24
M,47
F,49
M,35
M,41
M,34
M,36
M,52
F,50
M,30
 ,40
M,46
F,56
F,63
F,81
F,41
M,64
F,43
F,68
M,26
F,38
F,30
F,40
M,44
M,48
M,37
M,72
M,82
F,59
M,41
M,37
F,60
M,73
M,35
F,59
M,23
 ,76
F,45
F,35
F,46
F,17
M,62
M,35
F,39
F,35
F,76
F,53
M,62
M,81
F,19
M,39
 ,83
F,25
F,66
M,58
F,72
F,54
F,44
M,45
F,64
F,29
F,59
M,24
F,37
M,42
F,20
M,18
M,86
M,57
 ,29
M,18
F,35
F,61
F,63
M,65
M,37
M,32
F,35
M,31
M,49
F,44
M,18
M,21
 ,59
M,64
M,61
F,67
F,61
F,72
F,56
F,38
M,47
F,48
F,69
M,19
M,54
M,64
 ,79
M,81
M,89
 ,83
M,84
F,69
F,75
M,38
M,44
F,65
F,36
F,37
F,83
F,46
F,48
M,51
M,39
M,59
 ,68
M,80
M,85
M,19
 ,55
M,46
M,57
 ,61
F,36
F,64
F,39
M,43
F,58
F,24
M,45
F,38
M,23
M,73
F,40
F,50
M,36
 ,59
M,43
F,31
M,39
 ,26
M,49
F,66
F,49
 ,77
F,56
F,76
 ,66
F,77
M,66
M,68
F,63
M,42
F,51
M,31
M,71
F,39
F,46
M,57
F,54
M,60
 ,80
M,22
 ,79
F,67
F,72
M,41
F,24
F,30
M,51
F,95
M,40
M,44
F,42
F,55
M,73
F,22
M,47
M,31
M,69
F,50
F,39
M,42
M,52
M,75
F,67
F,55
F,63
M,67
F,58
F,43
M,23
F,52
M,23
M,58
 ,62
F,62
F,67
M,69
 ,55
M,31
 ,67
M,41
M,51
F,84
M,77
M,63
M,58
M,54
 ,49
F,66
F,82
F,88
M,91
F,62
M,44
F,59
F,50
M,66
F,54
M,45
F,31
F,59
F,68
F,30
F,77
F,52
M,24
F,58
M,52
M,45
M,50
F,49
F,61
F,45
M,74
M,82
M,56
M,24
M,47
M,71
F,70
F,69
F,75
M,50
M,76
M,69
F,32
F,61
M,65
M,47
 ,68
F,56
M,26
M,39
F,52
M,30
 ,39
F,26
M,69
F,32
F,54
M,72
M,54
F,63
F,73
F,50
F,40
F,46
F,64
F,26
F,36
M,35
F,71
M,56
M,65
F,26
F,61
F,76
F,46
M,44
M,25
M,87
M,45
F,59
F,58
 ,54
M,65
 ,66
M,72
F,61
M,70
M,48
F,26
 ,66
F,69
M,80
M,70
M,39
F,46
M,76
O,45
F,26
 ,42
 ,68
M,39
F,89
F,60
M,47
M,67
F,76
F,87
F,79
M,43
F,50
M,72
F,61
M,61
F,70
M,86
F,36
F,45
F,61
M,65
M,28
M,47
F,36
M,43
F,37
M,74
F,75
 ,70
F,38
F,55
 ,75
 ,64
M,67
M,62
M,50
 ,29
F,65
M,64
M,61
F,55
M,65
M,46
 ,60
M,37
F,56
F,76
F,74
F,62
M,52
F,68
M,68
F,67
M,46
F,64
F,28
M,69
M,78
M,67
M,36
F,51
M,75
F,50
M,53
F,76
M,0
F,91
F,51
F,44
M,61
 ,72
F,81
F,91
F,59
M,64
M,64
M,79
F,73
F,68
M,61
F,53
F,71
F,69
M,90
F,93
M,65
M,72
M,72
M,71
M,67
F,57
F,69
F,68
F,73
F,68
F,93
M,71
M,0
F,67
M,58
M,66
M,74
F,78
M,78
F,76
F,62
F,68
M,77
F,77
F,80
M,88
 ,78
 ,65
M,74
M,74
F,67
F,83
F,48
M,46
M,84
 ,48
F,64
M,74
F,63
M,48
F,56
 ,61
M,56
F,74
F,29
F,60
M,50
F,67
M,84
F,84
F,59
M,59
 ,61
M,64
F,69
F,72
F,51
F,30
M,58
F,65
M,79
M,70
F,69
M,58
F,55
M,65
F,67
F,85
F,81
F,57
 ,88
 ,0
M,64
M,32
F,63
M,74
F,38
F,70
F,68
M,67
F,60
M,43
M,82
M,91
M,49
F,47
M,96
M,73
F,67
 ,55
F,92
M,52
F,77
M,0
F,74
F,65
F,72
 ,85
M,75
M,70
M,69
M,79
M,41
M,60
M,51
F,54
M,85
M,69
M,92
F,75
F,78
M,63
F,62
M,74
F,70
M,38
M,77
M,60
M,78
M,62
F,59
M,59
M,57
F,73
M,70
M,55
M,77
F,64
M,35
F,69
F,55
F,62
M,65
F,71
F,55
F,59
F,56
M,76
F,71
F,59
F,75
F,92
F,80
F,66
F,73
F,70
F,46
F,79
F,59
F,64
F,77
F,72
F,69
F,32
F,73
M,38
M,35
M,63
M,52
F,61
M,71
F,37
F,37
F,68
 ,58
 ,87
M,65
M,69
M,54
M,65
M,35
M,85
M,79
M,72
M,41
F,94
M,56
M,50
F,59
 ,61
M,53
F,92
F,47
F,60
F,59
F,79
F,89
 ,59
M,73
M,66
 ,60
F,72
F,87
F,43
F,65
F,34
F,40
M,82
M,63
M,84
 ,77
M,88
M,80
F,49
 ,37
F,52
F,33
F,76
F,82
M,69
F,71
F,69
F,72
F,81
M,89
 ,59
M,76
M,76
M,65
F,62
M,60
 ,85
M,56
M,73
M,41
F,35
F,52
F,79
F,78
 ,79
M,86
M,71
M,39
 ,75
F,83
F,78
F,76
F,62
F,79
M,52
M,60
F,94
 ,84
F,78
F,79
F,57
 ,44
F,38
F,48
M,20
F,87
M,43
F,22
M,53
 ,36
M,73
F,32
M,64
 ,70
 ,26
M,65
F,69
M,14
M,21
M,15
F,39
M,70
M,71
M,73
 ,42
 ,81
M,16
M,28
 ,37
F,64
M,34
F,37
F,79
F,6
M,65
F,20
 ,71
M,43
F,48
M,26
M,41
M,42
F,49
M,17
M,28
F,34
 ,56
 ,24
F,29
F,67
 ,54
F,47
F,23
 ,30
 ,46
F,28
 ,21
 ,63
M,70
 ,53
 ,81
 ,30
M,77
F,60
M,48
F,32
 ,58
 ,57
F,43
M,30
 ,39
 ,41
F,19
F,19
F,74
F,55
M,62
F,38
M,33
M,80
F,73
 ,18
F,77
 ,91
F,57
 ,64
F,75
 ,23
M,48
F,67
F,39
F,39
 ,27
 ,41
F,34
 ,32
M,18
 ,32
 ,32
M,65
M,47
F,1
 ,52
F,32
M,52
 ,21
M,44
M,20
 ,54
M,29
 ,19
M,19
 ,78
F,53
 ,54
F,16
 ,78
M,29
 ,17
M,30
 ,65
M,61
 ,39
M,29
F,62
M,42
F,15
 ,37
F,73
F,29
F,69
F,25
 ,36
 ,53
F,39
M,17
M,26
M,46
 ,33
M,26
 ,23
M,79
M,22
M,31
M,16
 ,19
 ,74
M,1
F,43
F,42
M,18
F,62
F,23
M,20
M,50
M,44
M,50
F,30
 ,27
 ,24
M,21
F,37
F,35
 ,48
 ,33
M,10
M,93
F,18
M,35
M,40
M,31
F,54
 ,36
M,62
 ,39
M,65
M,16
F,31
F,54
F,19
F,36
F,18
F,24
M,54
F,46
M,53
M,18
F,18
M,18
 ,32
 ,82
M,31
 ,17
F,77
F,40
M,34
 ,28
F,15
M,12
F,8
F,57
M,8
 ,79
M,29
 ,48
M,21
M,19
F,18
F,25
 ,61
 ,29
M,41
M,40
F,26
M,61
 ,56
 ,19
 ,33
M,25
F,4
M,59
M,72
F,34
M,10
 ,41
M,26
 ,32
M,42
F,64
M,69
M,31
M,76
F,31
F,57
F,24
M,26
 ,74
 ,19
M,25
M,48
 ,23
F,37
M,42
F,32
F,46
M,20
 ,52
M,43
M,23
 ,57
F,24
 ,12
F,43
M,30
M,58
M,22
M,29
F,52
F,19
 ,19
F,73
M,76
F,31
 ,39
M,38
 ,51
F,40
 ,77
M,54
M,53
 ,41
F,7
 ,45
 ,37
M,66
F,39
 ,56
 ,63
F,20
M,50
 ,28
M,36
M,35
F,44
F,49
 ,36
 ,20
F,27
 ,39
F,42
M,26
M,42
M,36
M,15
F,66
F,36
 ,16
F,51
F,41
M,73
M,30
F,26
M,33
M,27
F,33
M,13
M,65
F,40
M,23
F,58
F,40
M,69
F,11
F,23
M,5
M,11
M,50
F,38
 ,30
M,47
F,62
F,57
F,55
 ,70
F,54
 ,6
M,67
F,35
 ,26
F,26
M,54
M,55
 ,50
F,33
F,37
F,74
F,73
 ,36
F,21
F,13
M,49
M,51
F,55
 ,65
M,48
 ,47
F,39
 ,55
M,46
F,68
F,33
M,36
 ,45
M,35
M,65
M,41
 ,41
F,63
M,63
F,37
M,34
M,54
F,22
F,34
F,32
M,61
 ,66
M,30
 ,33
F,54
F,44
M,26
M,37
M,63
F,70
 ,23
M,64
F,35
F,46
F,19
M,71
F,84
M,5
M,46
F,29
F,21
 ,70
 ,32
M,21
 ,51
F,45
M,43
M,14
M,51
 ,27
F,45
F,74
M,36
M,5
M,67
F,38
M,18
M,25
 ,32
M,75
M,33
 ,70
 ,41
 ,18
F,59
M,41
 ,75
 ,24
M,27
F,49
M,40
F,56
F,32
M,22
M,48
M,62
F,69
M,54
F,58
 ,36
 ,27
F,29
 ,47
F,64
M,30
F,35
M,70
M,71
M,52
F,68
F,66
M,48
M,76
F,71
M,79
F,55
M,49
F,59
F,77
F,62
F,63
M,71
F,74
M,45
M,72
M,63
M,67
M,75
F,65
M,70
 ,43
M,44
M,84
F,52
F,57
 ,73
 ,74
 ,39
 ,36
F,68
F,67
 ,72
F,62
F,64
 ,44
M,34
M,9
M,6
M,61
M,24
F,24
F,42
M,46
F,56
 ,37
 ,36
M,32
M,70
F,80
 ,25
F,38
M,36
F,32
 ,63
F,60
M,59
 ,23
M,39
M,24
 ,30
M,57
F,42
M,39
 ,25
M,16
M,23
 ,67
 ,42
 ,57
 ,61
M,65
F,56
F,37
F,22
M,56
F,55
M,59
F,50
 ,62
 ,61
 ,29
M,23
M,12
 ,42
 ,43
M,66
 ,36
F,56
M,58
M,7
 ,54
M,23
F,52
M,34
 ,48
 ,25
 ,72
M,66
 ,59
M,59
 ,52
F,45
F,48
F,20
F,24
M,29
F,72
M,39
M,18
F,20
F,59
M,60
F,50
M,36
F,76
M,79
F,77
F,58
F,38
M,69
M,7
F,8
M,16
M,52
F,26
M,75
M,53
F,63
M,66
F,67
F,79
M,36
M,68
F,32
M,33
F,59
M,65
M,32
F,64
M,30
M,15
M,54
M,44
M,39
F,32
F,30
F,31
F,31
M,16
F,7
F,57
M,10
 ,65
F,21
F,78
M,23
F,68
F,23
M,61
M,64
F,23
F,25
M,40
F,55
M,43
F,54
F,59
F,22
F,24
M,72
F,51
F,42
F,13
M,16
M,43
F,50
 ,35
F,64
F,62
M,20
F,43
F,32
F,52
F,83
F,91
F,52
 ,80
F,75
F,54
F,34
F,63
M,66
F,70
 ,73
 ,46
M,34
F,34
M,26
F,65
M,26
M,48
F,83
F,80
F,76
F,34
F,87
 ,51
F,77
F,36
M,78
F,54
F,56
F,57
F,62
M,39
M,39
F,59
M,77
M,28
F,80
M,60
F,36
F,63
F,64
F,67
F,27
F,57
M,71
M,88
M,64
F,74
F,57
 ,34
M,52
M,58
F,77
F,70
M,68
M,67
F,27
M,80
F,49
F,54
F,54
M,49
F,69
F,59
 ,65
M,32
F,55
F,36
F,57
F,32
M,78
M,80
M,60
M,27
F,54
F,50
M,58
M,68
 ,32
M,89
M,41
M,33
F,49
F,27
F,39
F,38
M,33
F,34
F,94
M,58
M,28
F,45
F,70
M,69
M,0
F,53
M,70
F,52
M,67
F,63
M,63
M,69
M,35
M,59
F,45
F,76
M,66
M,66
M,27
M,34
F,59
F,78
M,89
F,32
 ,64
F,48
F,67
F,65
M,64
M,49
M,30
F,40
F,52
M,48
F,71
F,59
F,64
F,45
F,32
F,76
 ,70
M,76
M,60
F,70
F,44
M,29
F,74
M,33
F,56
M,34
F,50
M,63
 ,28
M,79
F,59
M,66
 ,48
F,71
M,54
F,72
M,64
F,68
F,66
 ,60
F,57
F,92
M,52
M,38
F,54
M,70
M,76
 ,56
F,69
M,30
M,32
F,73
M,74
M,75
 ,57
F,63
F,52
F,40
M,75
F,67
F,42
M,39
M,72
M,70
M,65
 ,63
F,52
M,49
M,69
F,55
M,72
M,73
M,67
F,71
M,76
F,71
F,86
M,0
F,63
M,77
M,77
M,71
F,37
F,65
F,74
M,83
F,61
M,81
M,73
F,39
M,65
F,62
M,86
F,65
F,33
F,42
F,64
F,57
M,93
M,70
M,45
M,63
F,68
F,67
F,52
F,53
F,62
F,35
M,70
F,83
M,87
M,70
M,78
M,92
M,72
M,83
 ,71
F,62
F,80
M,74
 ,98
F,59
M,61
M,74
M,72
F,72
F,83
F,77
F,74
F,75
F,71
M,59
M,66
F,69
M,68
M,63
M,67
M,49
M,34
M,78
M,87
M,76
M,35
M,69
F,78
F,83
 ,88
O,70
F,75
M,70
F,34
M,70
M,0
F,63
F,80
M,80
F,51
F,38
M,71
M,67
F,55
M,34
F,83
F,62
F,66
M,67
F,31
F,85
M,100
M,83
M,78
M,84
M,40
M,70
F,94
M,40
F,92
M,78
M,81
M,46
M,49
F,76
M,70
F,77
 ,68
M,64
M,88
F,82
F,43
F,78
M,73
M,72
M,71
M,60
F,79
M,74
F,77
M,79
M,89
F,76
M,65
M,77
M,75
F,43
F,71
F,83
M,52
F,80
F,73
F,92
M,75
F,84
F,72
F,79
F,70
F,68
F,69
F,70
M,68
M,71
M,73
M,77
M,63
M,61
F,66
M,83
M,72
M,59
M,75
M,62
 ,79
F,63
M,74
F,67
 ,75
F,71
 ,90
F,66
 ,72
F,35
F,77
M,58
M,55
M,82
M,72
M,67
F,77
F,74
F,63
F,60
M,72
M,46
M,44
M,48
F,90
F,80
F,84
F,81
F,85
F,91
M,50
M,56
M,68
F,92
F,63
F,64
F,65
F,36
M,75
F,71
M,79
F,76
M,52
F,56
F,79
M,76
F,77
 ,69
M,59
M,73
F,71
M,68
M,69
 ,79
M,42
M,58
F,85
M,87
M,89
F,87
F,45
O,62
M,67
F,81
F,77
F,63
M,87
M,56
M,58
M,56
F,71
M,48
F,50
M,72
F,63
M,45
M,61
M,80
M,60
F,51
F,72
M,46
M,86
M,43
F,54
M,29
F,70
M,69
M,29
F,63
F,84
M,73
M,55
M,34
M,34
F,77
M,59
M,60
F,59
F,69
M,68
M,68
F,72
F,52
M,74
M,75
F,59
F,43
M,58
 ,79
M,67
F,48
M,68
F,94
F,72
M,56
F,59
M,74
M,92
F,48
 ,63
M,62
 ,66
F,91
M,86
F,77
F,49
M,35
F,67
 ,74
F,42
M,59
F,37
F,59
F,62
M,64
F,74
F,55
M,48
M,61
M,29
M,56
M,84
M,58
F,55
M,81
F,60
 ,78
M,57
F,44
F,72
M,65
M,63
M,0
M,30
F,81
F,53
F,75
F,66
F,81
F,78
M,63
F,74
F,60
M,80
F,67
 ,77
 ,75
F,58
M,82
F,50
F,56
F,61
M,61
F,69
F,76
F,77
M,63
F,84
M,79
M,70
F,82
M,66
F,71
 ,74
F,61
F,84
M,47
M,80
F,64
M,86
M,82
F,84
F,85
F,95
M,49
F,67
 ,91
F,97
M,65
M,69
F,93
F,72
M,66
F,65
M,78
F,77
M,67
 ,53
F,60
M,37
F,76
F,77
 ,0
F,87
M,31
F,64
F,68
F,74
M,78
 ,74
M,61
F,88
F,71
 ,41
F,45
F,64
F,87
F,77
 ,73
F,78
F,44
F,47
M,39
F,45
 ,74
F,87
 ,82
F,74
M,37
M,79
M,81
F,72
F,43
F,73
 ,0
F,67
M,69
F,70
F,91
F,80
F,69
M,69
M,64
F,73
F,82
F,76
F,72
M,80
F,82
 ,0
 ,72
 ,58
M,62
F,75
F,69
F,84
M,68
F,66
F,63
F,69
 ,0
F,65
F,85
F,74
 ,0
F,74
F,68
F,62
F,66
F,71
F,81
M,57
F,92
F,94
F,64
F,83
F,77
F,76
M,82
M,66
F,83
F,67
M,74
F,72
F,0
M,69
M,83
F,86
M,68
M,40
 ,22
 ,20
F,29
 ,57
 ,19
F,23
M,55
 ,35
F,23
 ,23
M,27
M,41
M,9
M,61
M,18
F,58
M,7
F,54
 ,24
F,22
F,66
M,35
M,44
F,46
 ,27
M,11
F,13
F,71
 ,49
 ,55
F,21
M,40
 ,49
F,53
 ,13
M,44
M,24
F,56
M,23
F,59
 ,18
M,58
F,71
M,72
F,26
F,41
F,39
F,17
F,20
M,64
F,29
F,18
F,48
M,32
M,39
 ,23
M,58
M,21
 ,11
 ,29
 ,65
 ,23
M,62
 ,45
F,72
M,21
 ,28
F,26
M,26
 ,40
M,39
M,42
M,17
M,58
M,37
 ,33
F,20
F,74
M,48
F,40
M,44
 ,12
M,32
 ,31
M,37
 ,71
 ,36
F,75
 ,28
M,17
F,60
F,44
F,66
F,60
M,29
M,35
 ,63
M,79
F,20
M,5
 ,60
F,63
M,49
M,40
F,96
F,41
F,35
M,56
M,78
 ,40
F,44
M,43
 ,26
 ,54
F,29
 ,12
M,59
F,34
F,31
M,17
M,29
 ,1
 ,34
F,29
F,33
 ,55
M,10
 ,26
F,44
M,26
F,52
M,55
M,25
M,30
M,74
F,41
M,19
M,49
F,48
F,19
 ,44
M,19
F,48
M,25
M,42
M,41
 ,56
F,44
F,61
F,43
F,62
M,89
 ,40
M,55
F,40
M,53
M,69
 ,42
F,61
M,34
F,40
F,31
M,42
 ,63
F,57
F,74
M,34
 ,13
F,57
M,24
F,69
M,30
 ,40
 ,65
M,20
F,51
M,34
F,62
 ,3
F,57
F,22
M,67
 ,64
F,21
M,54
M,50
 ,44
