ATM_Address,ATM_City_State,Merchant_Category,Merchant_Name,Transaction_Code,Transaction_Code_Description,Transaction_Type,Transaction_Type_Description,Transaction_Number,Amount_Completed,Transaction_Date,Time_Local_hhmmss,Recurring_Trxn,CustomerID
40 BRIDGE ST,GARDINERME,5814,MCDONALD S F5558,20,POS Debit        Pri,P,Pinned Settlements  ,0,10.02,2025-11-22,134900, ,BSB439050
110 MOUNT AUBURN AV,AUBURNME,5300,BJS WHOLESALE #0,20,POS Debit        Pri,P,Pinned Settlements  ,23,83.4,2025-11-23,132203, ,BSB063926
409 US ROUTE 2 E,WILTONME,5310,DOLLAR GENERAL #,0,POS Debit        Pri,P,Pinned Settlements  ,55,9.34,2025-12-18,122313, ,BSB041396
SCARBOROUGH,SCARBOROUGHME,5542,COSTCO GAS #165,20,POS Debit        Pri,P,Pinned Settlements  ,58,34.06,2025-12-12,140200, ,BSB456993
AMAZON.COM,SEATTLEWA,5942,AMAZON.COM*1W5EJ,20,POS Debit        Pri,P,Pinned Settlements  ,72,34.18,2025-12-10,230533, ,BSB508378
900 STILLWATER AVE,BANGORME,5411,WAL-MART #1856,20,POS Debit        Pri,P,Pinned Settlements  ,0,5.02,2025-12-10,162000, ,BSB214208
10 E SCHOODIC DR,BIRCH HARBORME,5541,MC S MARKET PL,20,POS Debit        Pri,P,Pinned Settlements  ,40,2.16,2025-12-10,90727, ,BSB286192
verifyvend855-55399,PROVIDENCERI,6540,verifyvend855-55,20,POS Debit        Pri,P,Pinned Settlements  ,69,48.5,2025-12-11,124915, ,BSB012069
CIRCLE K 07005 507,FARMINGTONME,5542,CIRCLE K 07005 5,20,POS Debit        Pri,P,Pinned Settlements  ,4,16.4,2025-12-16,135750, ,BSB187164
702 SW 8TH ST,BENTONVILLEAR,5310,WALMART.COM 8009,20,POS Debit        Pri,P,Pinned Settlements  ,81,6.0,2025-12-14,213548, ,BSB486065
HANNAFORD #8241 93,BELFASTME,5411,HANNAFORD #8241,20,POS Debit        Pri,P,Pinned Settlements  ,16,17.26,2025-12-17,114412, ,BSB298767
CUMBERLAND FARMS 55,GARDINERME,5541,CUMBERLAND FARMS,20,POS Debit        Pri,P,Pinned Settlements  ,72,10.45,2025-12-11,124148, ,BSB151119
NORTH WINDHAM,NORTH WINDHAMME,5541,NORTH WINDHAM I,20,POS Debit        Pri,P,Pinned Settlements  ,25,32.97,2025-12-11,160400, ,BSB188984
809 ROOSEVELT TRL,WINDHAMME,5541,BIG APPLE #1056,20,POS Debit        Pri,P,Pinned Settlements  ,86,21.72,2025-12-11,110211, ,BSB188984
DANFORTHS DOWN HOME,PITTSFIELDME,5411,DANFORTHS DOWN H,20,POS Debit        Pri,P,Pinned Settlements  ,79,17.57,2025-12-12,172504, ,BSB080741
ORONO,ORONOME,5541,LEADBETTER QUIC,20,POS Debit        Pri,P,Pinned Settlements  ,42,3.74,2025-12-11,202600, ,BSB356399
303 MAIN ST,FARMINGTONME,5814,MCDONALD S F2264,20,POS Debit        Pri,P,Pinned Settlements  ,0,1.94,2025-12-12,114000, ,BSB153333
AMAZON.COM,SEATTLEWA,4816,AMAZON.COM*S76F4,20,POS Debit        Pri,P,Pinned Settlements  ,6,31.64,2025-12-15,184432, ,BSB040998
GLEN,GLENNH,5541,MCSHEFFREY NH,20,POS Debit        Pri,P,Pinned Settlements  ,10,15.73,2025-12-17,130500, ,BSB012396
225 High St,EllsworthME,5999,Harbor Freight T,20,POS Debit        Pri,P,Pinned Settlements  ,51,29.17,2025-12-15,111051, ,BSB286192
102 MAIN ST,MEXICOME,5331,FAMILY DOLLAR,20,POS Debit        Pri,P,Pinned Settlements  ,43,5.53,2025-12-15,124838, ,BSB158263
CIRCLE K 07083 57 M,FREEPORTME,5542,CIRCLE K 07083 5,20,POS Debit        Pri,P,Pinned Settlements  ,86,45.29,2025-12-16,135740, ,BSB106429
AMAZON.COM,SEATTLEWA,4816,AMAZON.COM*W29IJ,20,POS Debit        Pri,P,Pinned Settlements  ,34,85.18,2025-12-15,184427, ,BSB040998
ROCKLAND,ROCKLANDME,5541,NOURIA STORE 10,20,POS Debit        Pri,P,Pinned Settlements  ,37,13.27,2025-12-16,124900, ,BSB012069
47 HASKELL RD,BANGORME,5300,SAMS CLUB #6333,20,POS Debit        Pri,P,Pinned Settlements  ,97,56.84,2025-12-13,132402, ,BSB446841
250 W BROADWAY,LINCOLNME,5411,WAL WAL-MART #19,20,POS Debit        Pri,P,Pinned Settlements  ,49,26.16,2025-12-16,185547, ,BSB317994
353 MAIN ST,BANGORME,7800,ME_LOT: SHAW S M,20,POS Debit        Pri,P,Pinned Settlements  ,1,20.0,2025-12-16,95726, ,BSB069797
SAVERS - 1164 2064,NEWINGTONNH,5931,SAVERS - 1164 20,20,POS Debit        Pri,P,Pinned Settlements  ,81,79.98,2025-12-16,113857, ,BSB394555
806 W JAMES LEE BL,CRESTVIEWFL,5541,BIG BOSS CITGO C,20,POS Debit        Pri,P,Pinned Settlements  ,59,20.19,2025-12-16,93851, ,BSB051136
900 STILLWATER AVE,BANGORME,5411,WM SUPERCENTER #,20,POS Debit        Pri,P,Pinned Settlements  ,76,24.16,2025-12-16,84949, ,BSB261191
806 W JAMES LEE BL,CRESTVIEWFL,5542,BIG BOSS CITGO C,20,POS Debit        Pri,P,Pinned Settlements  ,45,50.21,2025-12-16,93214, ,BSB051136
WWW.FASTSPRING.COM,SANTA BARBARCA,5734,FS *FSPRG.COM,20,POS Debit        Pri,P,Pinned Settlements  ,95,10.54,2025-12-16,72408, ,BSB261191
320 JAMES LEE BLVD,CRESTVIEWFL,5599,TRACTOR SUPPLY #,20,POS Debit        Pri,P,Pinned Settlements  ,82,40.03,2025-12-16,152015, ,BSB051136
LANCASTER,LANCASTERNH,5542,LANCASTER CARD,20,POS Debit        Pri,P,Pinned Settlements  ,71,50.01,2025-12-14,105000, ,BSB164292
CIRCLE K # 07123 24,CANAANME,5541,CIRCLE K # 07123,20,POS Debit        Pri,P,Pinned Settlements  ,1,7.21,2025-12-16,71609, ,BSB288588
NORRIDGEWOCK,NORRIDGEWOCKME,5541,FABIAN OOSOOLA,20,POS Debit        Pri,P,Pinned Settlements  ,22,11.53,2025-12-16,121100, ,BSB109028
HANNAFORD #8442 37,DEXTERME,5411,HANNAFORD #8442,20,POS Debit        Pri,P,Pinned Settlements  ,57,26.38,2025-12-17,122100, ,BSB332637
00273--446 Sabattus,LewistonME,5912,CVS/PHARMACY #00,20,POS Debit        Pri,P,Pinned Settlements  ,79,14.55,2025-12-11,113259, ,BSB203261
SANFORD,SANFORDME,5541,NOURIA STORE 11,20,POS Debit        Pri,P,Pinned Settlements  ,86,13.49,2025-12-11,70900, ,BSB415686
100 MAINE MALL RD,S PORTLANDME,5311,MACY S      038,20,POS Debit        Pri,P,Pinned Settlements  ,67,56.98,2025-12-14,124532, ,BSB453277
HANNAFORD #8417 77,HAMPDENME,5411,HANNAFORD #8417,20,POS Debit        Pri,P,Pinned Settlements  ,44,42.42,2025-12-12,145231, ,BSB410003
GOOGLE *YOUTUBE VID,MOUNTAIN VIEWCA,5815,GOOGLE *YOUTUBE,20,POS Debit        Pri,P,Pinned Settlements  ,88,3.99,2025-12-14,52913, ,BSB210779
1925 VILLAGE CENTER,LAS VEGASNV,5814,LITTLE CAESARS 3,20,POS Debit        Pri,P,Pinned Settlements  ,17,16.19,2025-12-12,103413, ,BSB380128
01674--16715 Old St,HuntersvilleNC,5912,CVS/PHARMACY #01,20,POS Debit        Pri,P,Pinned Settlements  ,73,14.56,2025-12-12,161003, ,BSB062755
GOOGLE *YOUTUBE TV,MOUNTAIN VIEWCA,5815,GOOGLE *YOUTUBE,20,POS Debit        Pri,P,Pinned Settlements  ,52,87.55,2025-12-12,125016, ,BSB118867
240 RIVERSIDE,AUGUSTAME,5541,MDS MARKET,20,POS Debit        Pri,P,Pinned Settlements  ,89,30.0,2025-12-11,173800, ,BSB311528
BANGOR,BANGORME,5541,DYSART S TRAVEL,20,POS Debit        Pri,P,Pinned Settlements  ,77,10.5,2025-12-12,151000, ,BSB410003
HANNAFORD #8173 383,BREWERME,5411,HANNAFORD #8173,20,POS Debit        Pri,P,Pinned Settlements  ,54,28.39,2025-12-12,134844, ,BSB486417
CIRCLE K 07047 1227,SANFORDME,5542,CIRCLE K 07047 1,20,POS Debit        Pri,P,Pinned Settlements  ,7,29.32,2025-12-14,133519, ,BSB486193
SANFORD,SANFORDME,5541,NOURIA STORE 11,20,POS Debit        Pri,P,Pinned Settlements  ,64,0.0,2025-12-12,71500, ,BSB415686
1429 MARION WALDO R,MARIONOH,5814,MCDONALD S M2984,20,POS Debit        Pri,P,Pinned Settlements  ,0,12.26,2025-12-12,143800, ,BSB338533
HANNAFORD #8225 299,BIDDEFORDME,5411,HANNAFORD #8225,20,POS Debit        Pri,P,Pinned Settlements  ,74,98.89,2025-12-13,185222, ,BSB210779
HANNAFORD #8342 31,SCARBOROUGHME,5411,HANNAFORD #8342,20,POS Debit        Pri,P,Pinned Settlements  ,91,110.92,2025-12-12,125736, ,BSB439050
1573 MAIN ST,PALMYRAME,5411,WAL-MART #2047,20,POS Debit        Pri,P,Pinned Settlements  ,0,3.16,2025-12-12,214900, ,BSB325917
AMAZON.COM,SEATTLEWA,4816,AMAZON.COM*XV6IS,20,POS Debit        Pri,P,Pinned Settlements  ,40,46.41,2025-12-12,55646, ,BSB341155
AMAZON.COM,SEATTLEWA,4816,AMAZON.COM*154ER,20,POS Debit        Pri,P,Pinned Settlements  ,79,14.34,2025-12-12,55640, ,BSB341155
164 LONGVIEW DR,BANGORME,5300,BJS WHOLESALE #0,20,POS Debit        Pri,P,Pinned Settlements  ,99,369.37,2025-12-11,142434, ,BSB487033
528 MAIN ST,SACOME,5814,WENDY S #2159,20,POS Debit        Pri,P,Pinned Settlements  ,33,13.49,2025-12-11,132126, ,BSB415686
HANNAFORD #8349 111,STANDISHME,5411,HANNAFORD #8349,20,POS Debit        Pri,P,Pinned Settlements  ,87,40.71,2025-12-11,144337, ,BSB236009
NORRIDGEWOCK,NORRIDGEWOCKME,5541,NORRIDGEWOCK IR,20,POS Debit        Pri,P,Pinned Settlements  ,30,45.34,2025-12-10,184800, ,BSB288588
5 LUMBER YANEL DRIV,BRIDGTONME,5814,MCDONALD S F3460,20,POS Debit        Pri,P,Pinned Settlements  ,0,44.7,2025-12-08,100100, ,BSB277328
100 MOUNT AUBURN AV,AUBURNME,5542,WM SUPERCENTER #,20,POS Debit        Pri,P,Pinned Settlements  ,45,21.39,2025-12-10,185853, ,BSB169809
380 AUGUSTA RD,BELMONTME,5542,MARITIME FARMS,20,POS Debit        Pri,P,Pinned Settlements  ,39,72.0,2025-12-10,154143, ,BSB030013
400 US ROUTE 1,YORKME,5912,WALGREENS STORE,20,POS Debit        Pri,P,Pinned Settlements  ,9,75.09,2025-12-12,142838, ,BSB479189
64 MANCHESTER DRIVE,WINDHAMME,5200,LOWE S #2629,20,POS Debit        Pri,P,Pinned Settlements  ,84,42.01,2025-12-06,154850, ,BSB148924
CIRCLE K 07089 53 M,ORONOME,5542,CIRCLE K 07089 5,20,POS Debit        Pri,P,Pinned Settlements  ,96,21.89,2025-12-11,71606, ,BSB162839
10 JFK PLZ,WATERVILLEME,5599,TRACTOR SUPPLY C,20,POS Debit        Pri,P,Pinned Settlements  ,64,17.92,2025-12-05,130850, ,BSB146611
AMAZON.COM,SEATTLEWA,4816,AMAZON.COM*YE0RM,20,POS Debit        Pri,P,Pinned Settlements  ,34,13.99,2025-12-10,15140, ,BSB102698
ELLSWORTH,ELLSWORTHME,5411,SHAWS OSCO 0057,20,POS Debit        Pri,P,Pinned Settlements  ,69,3.0,2025-12-11,184100, ,BSB311977
206 US ROUTE 1,FALMOUTHME,5411,WAL-MART #2659,20,POS Debit        Pri,P,Pinned Settlements  ,26,139.65,2025-12-10,144425, ,BSB127570
GOOGLE *CANDY CRUSH,MOUNTAIN VIEWCA,5818,GOOGLE *CANDY CR,20,POS Debit        Pri,P,Pinned Settlements  ,90,21.09,2025-12-11,114805, ,BSB437087
28 MAYVILLE RD,BETHELME,5912,WALGREENS STORE,20,POS Debit        Pri,P,Pinned Settlements  ,68,5.78,2025-12-06,132611, ,BSB277328
10820 KINGS RD,MYRTLE BEACHSC,5411,WAL-MART #0643,20,POS Debit        Pri,P,Pinned Settlements  ,31,64.06,2025-12-11,162307, ,BSB404786
CIRCLE K 07049 454,YORKME,5542,CIRCLE K 07049 4,20,POS Debit        Pri,P,Pinned Settlements  ,67,39.04,2025-12-10,141515, ,BSB277328
HANNAFORD #8133 500,OLD TOWNME,5411,HANNAFORD #8133,20,POS Debit        Pri,P,Pinned Settlements  ,48,64.71,2025-12-11,132903, ,BSB401291
24 WALTON DR,BREWERME,5411,WM SUPERCENTER #,20,POS Debit        Pri,P,Pinned Settlements  ,74,47.27,2025-12-11,172203, ,BSB486417
AMAZON.COM,SEATTLEWA,5942,AMAZON.COM*EF3C1,20,POS Debit        Pri,P,Pinned Settlements  ,30,51.68,2025-12-11,80230, ,BSB486417
1199 PALM BAY RD,PALM BAYFL,5542,7-ELEVEN,20,POS Debit        Pri,P,Pinned Settlements  ,30,26.0,2025-12-11,193431, ,BSB387268
00620--1 KENNEDY ME,WATERVILLEME,5912,CVS/PHARMACY #00,20,POS Debit        Pri,P,Pinned Settlements  ,82,14.9,2025-12-11,123724, ,BSB102698
2460 LAFAYETTE RD,PORTSMOUTHNH,5411,WM SUPERCENTER #,20,POS Debit        Pri,P,Pinned Settlements  ,85,11.21,2025-12-06,124921, ,BSB435372
PEDRICKTOWN,PEDRICKTOWNNJ,5499,AG TRAVEL PLAZA,20,POS Debit        Pri,P,Pinned Settlements  ,8,4.04,2025-12-11,112800, ,BSB062755
CIRCLE K 07000 32 H,BAILEYVILLEME,5541,CIRCLE K 07000 3,20,POS Debit        Pri,P,Pinned Settlements  ,84,20.34,2025-12-12,135843, ,BSB153866
PLAYSTATION NETWORK,SAN MATEOCA,5818,PLAYSTATION NETW,20,POS Debit        Pri,P,Pinned Settlements  ,83,10.54,2025-12-11,54230,Y,BSB482923
209 WESTERN AVE,AUGUSTAME,5814,MCDONALD S F1343,20,POS Debit        Pri,P,Pinned Settlements  ,0,47.33,2025-12-06,123500, ,BSB348727
BREWER,BREWERME,5541,BREWER #2333,20,POS Debit        Pri,P,Pinned Settlements  ,43,19.63,2025-12-11,183600, ,BSB292649
259 LISBON STREET,LEWISTONME,5814,ROYAL CHICKEN &,20,POS Debit        Pri,P,Pinned Settlements  ,63,26.99,2025-12-11,172645, ,BSB203261
17 MYRICK ST,ELLSWORTHME,5411,WAL WAL-MART #19,20,POS Debit        Pri,P,Pinned Settlements  ,41,15.13,2025-12-09,185114, ,BSB286192
663 STILLWATER AVE,BANGORME,5651,ZUMIEZ #477,20,POS Debit        Pri,P,Pinned Settlements  ,94,50.0,2025-12-10,101740, ,BSB332637
100 KENNEDY MEMORIA,WATERVILLEME,5310,TJ MAXX #1107,20,POS Debit        Pri,P,Pinned Settlements  ,38,17.92,2025-12-11,125342, ,BSB102698
204 US-1 #2,FALMOUTHME,7230,PRIMP SALON,20,POS Debit        Pri,P,Pinned Settlements  ,98,123.5,2025-12-10,134531, ,BSB127570
6 MAIN ST,SKOWHEGANME,5331,FAMILY DOLLAR,20,POS Debit        Pri,P,Pinned Settlements  ,93,16.25,2025-12-11,141742, ,BSB361276
CUMBERLAND FARMS 55,MECHANIC FALLME,5541,CUMBERLAND FARMS,20,POS Debit        Pri,P,Pinned Settlements  ,61,40.0,2025-12-10,81219, ,BSB260739
STRONG,STRONGME,5541,THE WHITE ELEPH,20,POS Debit        Pri,P,Pinned Settlements  ,28,13.52,2025-12-11,145600, ,BSB153333
SAVERS - 1164 2064,NEWINGTONNH,5931,SAVERS - 1164 20,20,POS Debit        Pri,P,Pinned Settlements  ,4,72.95,2025-12-16,114024, ,BSB394555
17 OLD POINT AVE,MADISONME,5541,BIG APPLE #1051,20,POS Debit        Pri,P,Pinned Settlements  ,86,18.66,2025-12-16,145159, ,BSB041617
12 COMMERCIAL DR,SOMERSWORTHNH,5200,NST THE HOME DEP,20,POS Debit        Pri,P,Pinned Settlements  ,1,118.93,2025-12-16,83828, ,BSB134231
EDWARDS BROS SUPERM,SEARSPORTME,5411,EDWARDS BROS SUP,20,POS Debit        Pri,P,Pinned Settlements  ,9,4.21,2025-12-12,183031, ,BSB101817
HANNAFORD #8141 469,DAMARISCOTTAME,5411,HANNAFORD #8141,20,POS Debit        Pri,P,Pinned Settlements  ,52,314.09,2025-12-13,141737, ,BSB009207
123 HANNAFORD DR,FARMINGTONME,5310,MARSHALLS 1581,20,POS Debit        Pri,P,Pinned Settlements  ,78,28.23,2025-12-13,165308, ,BSB158263
THOMASTON,THOMASTONME,5411,WAL-MART #1797,20,POS Debit        Pri,P,Pinned Settlements  ,65,55.94,2025-12-14,104300, ,BSB191975
HANNAFORD #8231 35,BRUNSWICKME,5411,HANNAFORD #8231,20,POS Debit        Pri,P,Pinned Settlements  ,38,13.39,2025-12-14,124004, ,BSB009207
CIRCLE K 07223 73 L,NORTH HAMPTONNH,5542,CIRCLE K 07223 7,20,POS Debit        Pri,P,Pinned Settlements  ,29,41.26,2025-12-16,131016, ,BSB134231
150 LEEMAN HWY,BATHME,5541,BIG APPLE #1079,20,POS Debit        Pri,P,Pinned Settlements  ,58,3.78,2025-12-12,123856, ,BSB041396
2 CHANDLER DR,BATHME,5814,MCDONALD S F4350,20,POS Debit        Pri,P,Pinned Settlements  ,0,12.16,2025-12-12,121300, ,BSB041396
HANNAFORD #8173 383,BREWERME,5411,HANNAFORD #8173,20,POS Debit        Pri,P,Pinned Settlements  ,33,43.57,2025-12-11,115359, ,BSB014740
711 E MAIN ST SU A,PURCELLVILLEVA,5533,AUTOZONE  6425,20,POS Debit        Pri,P,Pinned Settlements  ,26,50.28,2025-12-12,163204, ,BSB461334
OXFORD,OXFORDME,5411,WAL-MART #2183,20,POS Debit        Pri,P,Pinned Settlements  ,87,95.64,2025-12-11,154500, ,BSB402557
AUBURN,AUBURNME,5541,AUBURN IRVING,20,POS Debit        Pri,P,Pinned Settlements  ,84,40.61,2025-12-11,94300, ,BSB041396
MARKETPLACE AT AUGU,AUGUSTAME,5310,TJMAXX #0788,20,POS Debit        Pri,P,Pinned Settlements  ,43,39.01,2025-12-09,203706, ,BSB191724
MICROSOFT*XBOX,REDMONDWA,5818,MICROSOFT,20,POS Debit        Pri,P,Pinned Settlements  ,72,12.65,2025-12-09,215425, ,BSB007022
65 WESTERN AVE,HAMPDENME,5912,WALGREENS STORE,20,POS Debit        Pri,P,Pinned Settlements  ,75,4.74,2025-12-12,93052, ,BSB014740
STURBRIDGE,STURBRIDGEME,5541,PILOT #0222,20,POS Debit        Pri,P,Pinned Settlements  ,96,41.43,2025-12-10,182700, ,BSB062755
PLAYSTATION NETWORK,SAN MATEOCA,5818,PLAYSTATION NETW,20,POS Debit        Pri,P,Pinned Settlements  ,70,25.0,2025-12-01,152930, ,BSB512493
CIRCLE K 07087 633,BANGORME,5541,CIRCLE K 07087 6,20,POS Debit        Pri,P,Pinned Settlements  ,50,15.14,2025-12-16,64958, ,BSB512493
702 SW 8TH ST,BENTONVILLEAR,5310,WALMART.COM 8009,20,POS Debit        Pri,P,Pinned Settlements  ,65,118.19,2025-12-09,22054, ,BSB429929
MICROSOFT*XBOX,REDMONDWA,5818,MICROSOFT,20,POS Debit        Pri,P,Pinned Settlements  ,7,56.96,2025-12-11,45306, ,BSB007022
24 WALTON DR,BREWERME,5411,WM SUPERCENTER #,20,POS Debit        Pri,P,Pinned Settlements  ,4,66.34,2025-12-10,203734, ,BSB197026
SCARBOROUGH,SCARBOROUGHME,5411,WAL-MART #1788,20,POS Debit        Pri,P,Pinned Settlements  ,77,83.95,2025-12-12,111600, ,BSB236064
PLAYSTATION NETWORK,SAN MATEOCA,5818,PLAYSTATION NETW,20,POS Debit        Pri,P,Pinned Settlements  ,31,0.0,2025-12-10,180837,Y,BSB482923
17 STILLWATER AVE,ORONOME,5541,DYSART S CITGO T,20,POS Debit        Pri,P,Pinned Settlements  ,94,31.71,2025-12-11,125648, ,BSB401291
24 WALTON DR,BREWERME,5411,WM SUPERCENTER #,20,POS Debit        Pri,P,Pinned Settlements  ,70,80.65,2025-12-12,132341, ,BSB486417
SQUAREUP.COM,OAKLANDCA,7299,CASH APP*JASON J,20,POS Debit        Pri,P,Pinned Settlements  ,87,100.0,2025-12-12,120939, ,BSB279099
LEVANT,LEVANTME,5542,LEVANT IRVING,20,POS Debit        Pri,P,Pinned Settlements  ,99,20.18,2025-12-08,165000, ,BSB334906
1129 UNION ST,BANGORME,5310,OCEAN STATE 472,20,POS Debit        Pri,P,Pinned Settlements  ,21,38.24,2025-12-12,143143, ,BSB230335
LEWISTON,LEWISTONME,5533,O REILLY 4500,20,POS Debit        Pri,P,Pinned Settlements  ,72,21.06,2025-12-11,192300, ,BSB041396
CIRCLE K 07053 775,SACOME,5541,CIRCLE K 07053 7,20,POS Debit        Pri,P,Pinned Settlements  ,75,29.39,2025-12-11,62835, ,BSB138075
47 HASKELL ROAD,BANGORME,5300,SAMSCLUB #6333,20,POS Debit        Pri,P,Pinned Settlements  ,8,1.62,2025-12-12,140429, ,BSB319177
HANNAFORD #8173 383,BREWERME,5411,HANNAFORD #8173,20,POS Debit        Pri,P,Pinned Settlements  ,27,14.14,2025-12-12,165405, ,BSB159874
66 ALFRED ST,BIDDEFORDME,5541,7-ELEVEN,20,POS Debit        Pri,P,Pinned Settlements  ,19,34.7,2025-12-13,14525, ,BSB210779
440 PAYNE RD,SCARBOROUGHME,5300,SAMS CLUB #8186,20,POS Debit        Pri,P,Pinned Settlements  ,36,142.83,2025-12-12,122912, ,BSB236064
AMAZON.COM,SEATTLEWA,5942,AMAZON.COM*8N9ST,20,POS Debit        Pri,P,Pinned Settlements  ,81,32.65,2025-12-12,114313, ,BSB151119
AMAZON.COM,SEATTLEWA,4816,AMAZON.COM*KJ6QD,20,POS Debit        Pri,P,Pinned Settlements  ,43,20.34,2025-12-12,90219, ,BSB151119
900 STILLWATER AVE,BANGORME,5411,WM SUPERCENTER #,20,POS Debit        Pri,P,Pinned Settlements  ,86,15.21,2025-12-16,114435, ,BSB322208
89 STATE ST,BANGORME,5331,FAMILY DOLLAR,20,POS Debit        Pri,P,Pinned Settlements  ,24,13.83,2025-12-15,91455, ,BSB261191
375 US ROUTE 1,KITTERYME,5651,OLD NAVY US 5549,20,POS Debit        Pri,P,Pinned Settlements  ,38,89.26,2025-12-13,162033, ,BSB079244
AMAZON.COM,SEATTLEWA,5942,AMAZON.COM*2T9DD,20,POS Debit        Pri,P,Pinned Settlements  ,79,4.81,2025-12-15,21040, ,BSB306165
383 WILSON ST,BREWERME,7800,ME_LOT: HANNAFOR,20,POS Debit        Pri,P,Pinned Settlements  ,28,40.0,2025-12-17,100510, ,BSB069797
702 SW 8TH ST,BENTONVILLEAR,5310,WALMART.COM 8009,20,POS Debit        Pri,P,Pinned Settlements  ,54,97.28,2025-12-12,105807, ,BSB118867
282 MAIN STREET,BELFASTME,5814,MCDONALD S F2501,20,POS Debit        Pri,P,Pinned Settlements  ,0,14.1,2025-12-13,101900, ,BSB437087
17 MYRICK ST,LAMOINEME,5411,WM SUPERCENTER #,20,POS Debit        Pri,P,Pinned Settlements  ,71,12.54,2025-12-14,141710, ,BSB311977
HANNAFORD #8187 49,TOPSHAMME,5411,HANNAFORD #8187,20,POS Debit        Pri,P,Pinned Settlements  ,89,128.28,2025-12-15,154022, ,BSB039797
262 STATE ST,BREWERME,5411,EMERY S MEAT & P,20,POS Debit        Pri,P,Pinned Settlements  ,85,75.0,2025-12-15,143552, ,BSB499806
9 MOOSEHEAD TRAIL,NEWPORTME,5814,MCDONALD S F7682,20,POS Debit        Pri,P,Pinned Settlements  ,0,33.66,2025-12-14,142900, ,BSB141094
CIRCLE K # 07102 39,BRUNSWICKME,5542,CIRCLE K # 07102,20,POS Debit        Pri,P,Pinned Settlements  ,47,49.12,2025-12-13,93600, ,BSB117123
HANNAFORD #8173 383,BREWERME,5411,HANNAFORD #8173,20,POS Debit        Pri,P,Pinned Settlements  ,27,18.34,2025-12-11,184503, ,BSB292649
SCARBOROUGH,SCARBOROUGHME,5411,WAL-MART #1788,20,POS Debit        Pri,P,Pinned Settlements  ,92,228.0,2025-12-12,105000, ,BSB236064
365 LINCOLN ST,MANCHESTERNH,5331,DOLLARTREE,20,POS Debit        Pri,P,Pinned Settlements  ,96,4.5,2025-12-14,125940, ,BSB135012
MYRTLE BEACH,MYRTLE BEACHSC,5411,WAL-MART #0643,20,POS Debit        Pri,P,Pinned Settlements  ,90,63.43,2025-12-12,123200, ,BSB404786
730 CENTER STREET,AUBURNME,5999,Harbor Freight T,20,POS Debit        Pri,P,Pinned Settlements  ,23,97.02,2025-12-11,140423, ,BSB041396
217 SACO AVE,OLD ORCHARDME,5541,7-ELEVEN,20,POS Debit        Pri,P,Pinned Settlements  ,3,13.74,2025-12-14,70141, ,BSB453277
2484 CARMEL RD N,NEWBURGHME,5541,DYSART S CITGO T,20,POS Debit        Pri,P,Pinned Settlements  ,50,4.26,2025-12-13,92847, ,BSB004861
AMAZON.COM,SEATTLEWA,5942,AMAZON.COM*545KF,20,POS Debit        Pri,P,Pinned Settlements  ,70,19.9,2025-12-12,131911, ,BSB341155
HANNAFORD #8231 35,BRUNSWICKME,5411,HANNAFORD #8231,20,POS Debit        Pri,P,Pinned Settlements  ,14,11.17,2025-12-12,135544, ,BSB386025
CIRCLE K 07012 489,BANGORME,5542,CIRCLE K 07012 4,20,POS Debit        Pri,P,Pinned Settlements  ,60,40.12,2025-12-13,73255, ,BSB453277
437 WILSON ST,BREWERME,5912,WALGREENS STORE,20,POS Debit        Pri,P,Pinned Settlements  ,93,13.08,2025-12-12,141814, ,BSB292649
1573 MAIN ST,PALMYRAME,5411,WAL WAL-MART #20,20,POS Debit        Pri,P,Pinned Settlements  ,53,3.97,2025-12-12,94925, ,BSB100726
HANNAFORD #8133 500,OLD TOWNME,5411,HANNAFORD #8133,20,POS Debit        Pri,P,Pinned Settlements  ,53,35.59,2025-12-12,175620, ,BSB162839
149 MOUNT AUBURN AV,AUBURNME,5200,NST THE HOME DEP,20,POS Debit        Pri,P,Pinned Settlements  ,1,27.07,2025-12-15,135320, ,BSB427985
LEWISTON,LEWISTONME,5541,LEWISTON IRVING,20,POS Debit        Pri,P,Pinned Settlements  ,83,5.92,2025-12-12,90200, ,BSB041396
650 STILLWATER AVE,BANGORME,5200,NST THE HOME DEP,20,POS Debit        Pri,P,Pinned Settlements  ,1,136.1,2025-12-15,191418, ,BSB061382
189 OSSIPEE TRL,LIMINGTONME,9402,USPS PO 22447000,20,POS Debit        Pri,P,Pinned Settlements  ,89,46.8,2025-12-16,161545, ,BSB021656
MICROSOFT*XBOX,REDMONDWA,5818,MICROSOFT,20,POS Debit        Pri,P,Pinned Settlements  ,55,26.36,2025-12-16,45212, ,BSB007022
HANNAFORD #8330 100,SKOWHEGANME,5411,HANNAFORD #8330,20,POS Debit        Pri,P,Pinned Settlements  ,29,126.88,2025-12-17,152805, ,BSB103121
609653 BROADWAY,BANGORME,5310,TJMAXX #0433,20,POS Debit        Pri,P,Pinned Settlements  ,32,64.84,2025-12-17,161424, ,BSB131507
624 WILTON RD,FARMINGTONME,5399,DOLLAR TREE,20,POS Debit        Pri,P,Pinned Settlements  ,80,16.14,2025-12-16,173339, ,BSB118867
DANFORTHS DOWN HOME,PITTSFIELDME,5411,DANFORTHS DOWN H,20,POS Debit        Pri,P,Pinned Settlements  ,31,17.92,2025-12-16,170514, ,BSB080741
